Name
Sanae Abdi,
Valentin Abel,
Knut Abraham,
Katja Adler,
Stephanie Aeffner,
Adis Ahmetovic,
Gökay Akbulut,
Reem Alabali-Radovan,
Stephan Albani,
Ali Al-Dailami,
Muhanad Al-Halak,
Renata Alt,
Norbert Altenkamp,
Philipp Amthor,
Luise Amtsberg,
Dagmar Andres,
Niels Annen,
Johannes Arlt,
Christine Aschenberg-Dugnus,
Andreas Audretsch,
Artur Auernhammer,
Peter Aumer,
Maik Außendorf,
Tobias B. Bacherle,
Carolin Bachmann,
Lisa Badum,
Heike Baehrens,
Dorothee Bär,
Karl Bär,
Annalena Baerbock,
Ulrike Bahr,
Daniel Baldy,
Felix Banaszak,
Nezahat Baradari,
Thomas Bareiß,
Sören Bartol,
Dietmar Bartsch,
Alexander Bartz,
Bärbel Bas,
Nicole Bauer,
Christina Baum,
Bernd Baumann,
Canan Bayram,
Katharina Beck,
Roger Beckamp,
Holger Becker,
Jens Beeck,
Olaf in der Beek,
Lukas Benner,
Jürgen Berghahn,
André Berghegger,
Bengt Bergt,
Marc Bernhard,
Melanie Bernstein,
Peter Beyer,
Marc Biadacz,
Steffen Bilger,
Matthias W. Birkwald,
Jakob Blankenburg,
Andreas Bleck,
René Bochmann,
Ingo Bodtke,
Peter Boehringer,
Friedhelm Boginski,
Gereon Bollmann,
Simone Borchardt,
Michael Brand,
Jens Brandenburg,
Mario Brandenburg,
Dirk Brandes,
Reinhard Brandl,
Stephan Brandner,
Franziska Brantner,
Helge Braun,
Jürgen Braun,
Silvia Breher,
Sebastian Brehm,
Heike Brehmer,
Michael Breilmann,
Leni Breymaier,
Ralph Brinkhaus,
Carsten Brodesser,
Marlon Bröhr,
Agnieszka Brugger,
Frank Bsirske,
Sandra Bubendorfer-Licht,
Katrin Budde,
Marcus Bühl,
Clara Bünger,
Yannick Bury,
Marco Buschmann,
Karlheinz Busen,
Petr Bystron,
Isabel Cademartori,
Lars Castellucci,
Anna Christmann,
Tino Chrupalla,
Gitta Connemann,
Jürgen Coße,
Joana Cotar,
Carl-Julius Cronenberg,
Gottfried Curio,
Mario Czaja,
Sevim Dağdelen,
Janosch Dahmen,
Bernhard Daldrup,
Astrid Damerow,
Ekin Deligöz,
Hakan Demir,
Daniela De Ridder,
Sandra Detzer,
Karamba Diaby,
Martin Diedenhofen,
Jan Dieren,
Thomas Dietz,
Esther Dilcher,
Sabine Dittmar,
Bijan Djir-Sarai,
Alexander Dobrindt,
Felix Döring,
Anke Domscheit-Berg,
Michael Donth,
Katharina Dröge,
Falko Droßmann,
Deborah Düring,
Christian Dürr,
Hansjörg Durz,
Harald Ebner,
Axel Echeverria,
Leon Eckert,
Ralph Edelhäußer,
Thomas Ehrhorn,
Sonja Eichwede,
Marcel Emmerich,
Alexander Engelhard,
Heike Engelhardt,
Martina Englhardt-Kopf,
Thomas Erndl,
Klaus Ernst,
Wiebke Esdar,
Saskia Esken,
Michael Espendiller,
Marcus Faber,
Hermann Färber,
Ariane Fäscher,
Robert Farle,
Johannes Fechner,
Uwe Feiler,
Peter Felser,
Enak Ferlemann,
Susanne Ferschl,
Emilia Fester,
Sebastian Fiedler,
Alexander Föhr,
Daniel Föst,
Edgar Franke,
Thorsten Frei,
Otto Fricke,
Dietmar Friedhoff,
Hans-Peter Friedrich,
Michael Frieser,
Markus Frohnmaier,
Götz Frömming,
Maximilian Funke-Kaiser,
Fabian Funke,
Ingo Gädechens,
Schahina Gambir,
Tessa Ganserer,
Martin Gassner-Herz,
Matthias Gastel,
Alexander Gauland,
Manuel Gava,
Thomas Gebhart,
Kai Gehring,
Jonas Geissler,
Stefan Gelbhaar,
Michael Gerdes,
Knut Gerschau,
Martin Gerster,
Jan-Niclas Gesenhues,
Albrecht Glaser,
Angelika Glöckner,
Anikó Glogowski-Merten,
Hannes Gnauck,
Nicole Gohlke,
Katrin Göring-Eckardt,
Christian Görke,
Kay Gottschalk,
Fabian Gramling,
Ingeborg Gräßle,
Armin Grau,
Timon Gremmels,
Kerstin Griese,
Hermann Gröhe,
Michael Grosse-Brömer,
Uli Grötsch,
Markus Grübel,
Nils Gründer,
Monika Grütters,
Sabine Grützmacher,
Manfred Grund,
Erhard Grundl,
Oliver Grundmann,
Serap Güler,
Fritz Güntzler,
Ates Gürpinar,
Olav Gutting,
Gregor Gysi,
Christian Haase,
Robert Habeck,
Thomas Hacker,
Bettina Hagedorn,
Rita Hagl-Kehl,
André Hahn,
Florian Hahn,
Metin Hakverdi,
Reginald Hanke,
Mariana Harder-Kühnel,
Jürgen Hardt,
Philipp Hartewig,
Sebastian Hartmann,
Ulrike Harzer,
Britta Haßelmann,
Matthias Hauer,
Jochen Haug,
Stefan Heck,
Dirk Heidenblut,
Peter Heidt,
Hubertus Heil,
Mechthild Heil,
Frauke Heiligenstadt,
Thomas Heilmann,
Gabriela Heinrich,
Linda Heitmann,
Matthias Helferich,
Mark Helfrich,
Katrin Helling-Plahr,
Wolfgang Hellmich,
Kathrin Henneberger,
Anke Hennig,
Susanne Hennig-Wellsow,
Marc Henrichmann,
Markus Herbrand,
Torsten Herbst,
Bernhard Herrmann,
Nadine Heselhaus,
Martin Hess,
Katja Hessel,
Ansgar Heveling,
Susanne Hierl,
Karsten Hilse,
Christian Hirte,
Thomas Hitschler,
Gero Hocker,
Nicole Höchst,
Manuel Höferlin,
Bruno Hönel,
Alexander Hoffmann,
Bettina Hoffmann,
Christoph Hoffmann,
Anton Hofreiter,
Leif-Erik Holm,
Hendrik Hoppenstedt,
Franziska Hoppermann,
Jasmina Hostert,
Reinhard Houben,
Johannes Huber,
Verena Hubertz,
Markus Hümpfer,
Hubert Hüppe,
Andrej Hunko,
Gerrit Huy,
Erich Irlstorfer,
Fabian Jacobi,
Dieter Janecek,
Steffen Janich,
Anne Janssen,
Thomas Jarzombek,
Gyde Jensen-Bornhöft,
Marc Jongen,
Andreas Jung,
Ingmar Jung,
Frank Junge,
Josip Juratovic,
Ann-Veruschka Jurisch,
Oliver Kaczmarek,
Lamya Kaddor,
Elisabeth Kaiser,
Kirsten Kappert-Gonther,
Macit Karaahmetoğlu,
Anja Karliczek,
Carlos Kasper,
Anna Kassautzki,
Gabriele Katzmarek,
Malte Kaufmann,
Michael Kaufmann,
Michael Kellner,
Ronja Kemmer,
Franziska Kersten,
Katja Keul,
Stefan Keuter,
Misbah Khan,
Roderich Kiesewetter,
Michael Kießling,
Sven-Christian Kindler,
Georg Kippels,
Helmut Kleebank,
Karsten Klein,
Ottilie Klein,
Volkmar Klein,
Maria Klein-Schmeink,
Norbert Kleinwächter,
Kristian Klinck,
Lars Klingbeil,
Julia Klöckner,
Annika Klose,
Daniela Kluckert,
Tim Klüssendorf,
Axel Knoerig,
Pascal Kober,
Jens Koeppen,
Bärbel Kofler,
Lukas Köhler,
Anne König,
Jörn König,
Enrico Komning,
Carina Konrad,
Markus Koob,
Chantal Kopf,
Carsten Körber,
Jan Korte,
Simona Koß,
Steffen Kotré,
Philip Krämer,
Laura Kraft,
Rainer Kraft,
Anette Kramme,
Dunja Kreiser,
Gunther Krichbaum,
Günter Krings,
Martin Kröber,
Michael Kruse,
Tilman Kuban,
Wolfgang Kubicki,
Christian Kühn,
Kevin Kühnert,
Renate Künast,
Konstantin Kuhle,
Markus Kurth,
Sarah Lahrkamp,
Alexander Graf Lambsdorff,
Ricarda Lang,
Ulrich Lange,
Andreas Larem,
Armin Laschet,
Ina Latendorf,
Silke Launert,
Karl Lauterbach,
Caren Lay,
Ulrich Lechte,
Jens Lehmann,
Sven Lehmann,
Sylvia Lehmann,
Paul Lehrieder,
Katja Leikert,
Kevin Leiser,
Steffi Lemke,
Jürgen Lenders,
Barbara Lenk,
Ralph Lenkert,
Andreas Lenz,
Christian Leye,
Luiza Licina-Bode,
Thorsten Lieb,
Anja Liebert,
Esra Limbacher,
Helge Limburg,
Lars Lindemann,
Helge Lindh,
Andrea Lindholz,
Christian Lindner,
Tobias Lindner,
Michael Georg Link,
Carsten Linnemann,
Patricia Lips,
Denise Loop,
Bernhard Loos,
Gesine Lötzsch,
Rüdiger Lucassen,
Max Lucks,
Jan-Marco Luczak,
Daniela Ludwig,
Bettina Lugk,
Anna Lührmann,
Oliver Luksic,
Kristine Lütke,
Thomas Lutze,
Tanja Machalet,
Klaus Mack,
Isabel Mackensen-Geis,
Yvonne Magwas,
Erik von Malottki,
Holger Mann,
Till Mansmann,
Kaweh Mansoori,
Zanda Martens,
Dorothee Martin,
Parsa Marvi,
Franziska Mascheck,
Katja Mast,
Andreas Mattfeldt,
Stephan Mayer,
Zoe Mayer,
Volker Mayer-Lay,
Andreas Mehltretter,
Takis Mehmet Ali,
Pascal Meiser,
Michael Meister,
Dirk-Ulrich Mende,
Susanne Menge,
Friedrich Merz,
Robin Mesarosch,
Jan Metzler,
Christoph Meyer,
Swantje Michaelsen,
Kathrin Michel,
Mathias Middelberg,
Matthias Miersch,
Matthias Mieves,
Irene Mihalic,
Boris Mijatović,
Susanne Mittag,
Amira Mohamed Ali,
Cornelia Möhring,
Claudia Moll,
Siemtje Möller,
Mike Moncsek,
Dietrich Monstadt,
Matthias Moosdorf,
Maximilian Mordhorst,
Maximilian Mörseburg,
Alexander Müller,
Axel Müller,
Bettina Müller,
Carsten Müller,
Claudia Müller,
Detlef Müller,
Florian Müller,
Michael Müller,
Sascha Müller,
Sepp Müller,
Stefan Müller,
Beate Müller-Gemmeke,
Frank Müller-Rosentritt,
Michelle Müntefering,
Sebastian Münzenmaier,
Rolf Mützenich,
Stefan Nacke,
Sara Nanni,
Rasha Nasr,
Żaklin Nastić,
Edgar Naujok,
